Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date
CUSA00101	US	SingStar™	1.10		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00101_00/16/f_77c6eb247109493c6282710d1020bbfa5077d6928b0e51aa6551f97093c4ffd8/f/UP9000-CUSA00101_00-SINGSTARE3XX2013-A0110-V0100.json	2018-05-23 20:21:22
CUSA00102	US	Middle-Earth: Shadow Of Mordor	1.06		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00102_00/8/f_667914b58b2b984434a184fe285658850827be4b71412911b1cd1e493d1604bc/f/UP1018-CUSA00102_00-SHADOWOFMORDOR01-A0106-V0100.json	2018-01-21 15:14:22
CUSA00103	US	Mad Max	1.04		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00103_00/4/f_a90fdddaca54f73a9a20e513a3836513a40e70e6d1d2437a832ce9ea90ee0244/f/UP1018-CUSA00103_00-MADMAXTHEGAME001-A0104-V0100.json	2018-05-23 20:21:22
CUSA00104	EU	NBA 2K14	1.05		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00104_00/21/f_be4509a7ea49af4582c1fabc54f4a48a628ac858ef52fbcca281a89d25c64973/f/EP1001-CUSA00104_00-NBA2K14000000000-A0105-V0100.json	2018-05-23 20:21:22
CUSA00105	EU	Pinball Arcade	1.24		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00105_00/38/f_1048af28ff98ce5610006369be6b02129af382ebb54838e2f98666fbf18c9149/f/EP2058-CUSA00105_00-HDDBOOTPBA000001-A0124-V0100.json	2018-05-23 20:21:22
CUSA00107	US	Tomb Raider: Definitive Edition	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00107_00/4/f_a7d2b9f7f680dc2c4da2d4f648f5ef00f43057f83d7ba336a95be911d27c1285/f/UP0082-CUSA00107_00-000000TOMBRAIDER-A0101-V0101.json	2018-05-23 20:21:22
CUSA00108	JP	The Tomorrow Children™	1.32		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00108_00/22/f_b3d98a9e2e567fb4c9a40075b1cba9e366feb5c57125916672fd57d1d3ae6e2b/f/JP9000-CUSA00108_00-TTC0000000000000-A0132-V0101.json	2018-05-23 20:21:22
CUSA00109	EU	Tomb Raider: Definitive Edition	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00109_00/3/f_3852bc8dac541b2982528c6ab72e41d6ec8dcfc389510f321baf795d0b06e71b/f/EP0082-CUSA00109_00-000000TOMBRAIDER-A0101-V0101.json	2018-05-23 20:21:22
CUSA00110	US	Battlefield 4	1.18		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00110_00/23/f_059a5bc60bda6514b1622286690d04d89ae34d1ee5fca43934b7410bce2358d3/f/UP0006-CUSA00110_00-BATTLEFIELD40000-A0118-V0100.json	2018-01-21 15:08:22
CUSA00113	US	Need For Speed: Rivals	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00113_00/2/f_3b304fe3e0ddc14740f01bf0f07bef966f147279dcdf624510d314f152c1a846/f/UP0006-CUSA00113_00-NFS14000PS4000NA-A0102-V0100.json	2018-01-21 15:14:22
