Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJJ00156	JP	PSP	ネクタリス（PS3®・PSP®用）	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ00156_00/egD0WORNLUXtl0rI3diHLu77i4vkqjquGEU5L3YQSjcWt974qOJ02FKWe8sqLUYaSAH43E2kUValBPWTyBJ8QCOPChm6E3YGskq2p.pkg	JP0555-NPJJ00156_00-0000000000000001				240380608	
NPJJ50009	JP	PSP	ガンパレード･マーチ　ステージ９「ライト・バランス」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50009_00/xosucPZTgHJMfisHHcogtGMoEwQnpIPWaTNofFaFRRFaVixhykBmjKwbFDLmfQpMolJrSiYsZBsqgmLZOqEmeIktGCbmUvZsLsNJY.pkg	JP0620-NPJJ50009_00-0000000000000000				289696	
NPJJ50004	JP	PSP	ガンパレード・マーチ　ステージ４「司令官就任！」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50004_00/fKbozQAurQWOFSgXMqHyGJeKkwppGexRiSHHYTwblfZtNWJYpAbdEWedIvihLsXJtqCLoXQWgLwdsAXgqLIEIynqwQlWBCdacKQFp.pkg	JP0620-NPJJ50004_00-0000000000000000				289168	
NPJJ00201	JP	PSP	ウェルトオブ・イストリア（PS3®・PSP®用）	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ00201_00/lIbIkevoUeM1h5ney3nb0MlwspcyLlIEae1Dou3BN9LxwOlUS5Sfx6POdbxKtID85nRfwqnsX4enkxufxtjBlhcXEEhgMRoGIXwq1.pkg	JP0555-NPJJ00201_00-0000000000000001				146513856	
NPJJ50007	JP	PSP	ガンパレード・マーチ　ステージ７「絶望の日」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50007_00/LQEkazxWzcTDRnPXKgDmBhmtGsYmwZUIkKmfvrBCKSrVjeaCHJXDXZjoUPKFRXOYHrFNVhXPJdXJmUYWWVoOJcFKAYwRWGFAyUwZK.pkg	JP0620-NPJJ50007_00-0000000000000000				289648	
NPJJ00359	JP	PSP	HASHIRIYA～狼たちの伝説～(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00359_00/uvimJyALA2PUMKb1M2Kdd4pqsrmaEwKNKsBbEXUCCiFhviPalBF6mWJvngyI7VWk2W3CYLDgGaswU9htCnbdX1cIASX3uQ9dxW66g.pkg	JP0571-NPJJ00359_00-0000000000000001				67515648	
NPJJ50002	JP	PSP	ガンパレード・マーチ　ステージ１「シバムラティックバランス」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50002_00/MkkgahMzyHdMaVDOpuuyTvigpoMOtdJCjpbzqFRBPbwrNHREjCrloeLLnWRSjhpLCrvJGxkmARnXilfnAocUDgPWfUxcXylVDRRqY.pkg	JP0620-NPJJ50002_00-0000000000000000				289408	
NPJJ00301	JP	PSP	猫侍(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00301_00/KT27C0E8AQtPPr00OfhxR1KF60r8INj3uNPxGpAe6kSl59VRKHF4hOIsy59CQFFGtfw9SEbOREgkUs2mivV5Wuf4KdpvcC2VHYH8K.pkg	JP0571-NPJJ00301_00-0000000000000001				1337966672	
NPJJ50005	JP	PSP	ガンパレード・マーチ　ステージ５「常春学園」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50005_00/sCmdCRMSNdJbgiVAWADAFedamNRtZTIJkpLviiAihQNaanEZOOzCQAtemoqNeVBOSXnXGvWKcLZhOfgnYOYgFRahEoZRBZYyxVQjE.pkg	JP0620-NPJJ50005_00-0000000000000000				289504	
NPJJ50001	JP	PSP	ガンパレード・マーチ　Eランク「2週目データ」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50001_00/mEDeKahOoErxrvakbQLjYvujIheFKYovBpnxlFRFvGXvezvyVKZmEseiBWUiCHlhdXiLhznGVMJYnzPyAzAFOAdRSTSUHyHoYrGes.pkg	JP0620-NPJJ50001_00-0000000000000000				290352	
NPJJ50008	JP	PSP	ガンパレード・マーチ　ステージ８「スカウト・ポルカ」	http://zeus.dl.playstation.net/cdn/JP0620/NPJJ50008_00/whgyFxduLlnNOmyLzYllsjaPBrSqVQwVvNgkojTxGEVmcocGqKCWDhgzdhPPJkPolDBehRyOtcrBnEUJDwHHjByAUUZllwJKmZdIp.pkg	JP0620-NPJJ50008_00-0000000000000000				287328	
NPJJ00202	JP	PSP	プチカラット®(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0305/NPJJ00202_00/VshstSawUKpPSg2xhFCR0ncXWD7NXUCVs7OCO5WmLaCovTXBwJm19m7XIx1exGJtPUoMjdSYmxAQEmi1PPGr9Co6a9TXFJt01stBg.pkg	JP0305-NPJJ00202_00-0000000000000001				298235008	
